informacoes_basicas_data_requicisao,informacoes_basicas_empresa_divisao,informacoes_basicas_cliente,id_vaga
2021-09-08,Decision São Paulo,Morrison Ltd,6616
2021-09-08,Decision São Paulo,Barnes-Woods,6615
2021-09-08,Decision São Paulo,"Morris, Moran and Dodson",6614
2021-09-08,Decision São Paulo,"Morris, Moran and Dodson",6613
2021-09-08,Decision São Paulo,"Morris, Moran and Dodson",6612
2021-09-08,Decision Campinas,Miller-Curry,6611
2021-09-08,Decision Campinas,Miller-Curry,6610
2021-09-06,Decision São Paulo,Nelson-Page,6609
2021-09-06,Decision São Paulo,Mann and Sons,6608
2021-09-06,Decision São Paulo,"Morris, Moran and Dodson",6607
2021-09-06,Decision São Paulo,Mann and Sons,6606
2021-09-06,Decision Campinas,Miller-Curry,6605
2021-09-06,Decision Campinas,Miller-Curry,6604
2021-09-06,Decision São Paulo,Nelson-Page,6603
2021-09-06,Decision São Paulo,Nelson-Page,6602
2021-09-06,Decision São Paulo,Nelson-Page,6601
2021-09-06,Decision São Paulo,Nelson-Page,6600
2021-09-06,Decision São Paulo,Nelson-Page,6599
2021-09-06,Decision São Paulo,Nelson-Page,6598
2021-09-06,Decision São Paulo,Nelson-Page,6597
2021-09-06,Decision São Paulo,Nelson-Page,6596
2021-09-06,Decision São Paulo,Nelson-Page,6595
2021-09-06,Decision São Paulo,Nelson-Page,6594
2021-09-06,Decision São Paulo,Nelson-Page,6593
2021-09-06,Decision São Paulo,Nelson-Page,6592
2021-09-06,Decision São Paulo,Nelson-Page,6591
2021-09-06,Decision São Paulo,Nelson-Page,6590
2021-09-06,Decision São Paulo,Nelson-Page,6589
2021-09-06,Decision São Paulo,Nelson-Page,6588
2021-09-06,Decision São Paulo,Nelson-Page,6587
2021-09-06,Decision São Paulo,Nelson-Page,6586
2021-09-06,Decision Campinas,Miller-Curry,6585
2021-09-06,Decision Campinas,Miller-Curry,6584
2021-09-06,Decision São Paulo,Nelson-Page,6583
2021-09-06,Decision São Paulo,Nelson-Page,6582
2021-09-06,Decision São Paulo,Nelson-Page,6581
2021-09-06,Decision São Paulo,Nelson-Page,6580
2021-09-06,Decision São Paulo,Nelson-Page,6579
2021-09-06,Decision São Paulo,"Morris, Moran and Dodson",6578
2021-09-06,Decision São Paulo,"Morris, Moran and Dodson",6577
2021-09-03,Decision São Paulo,Morrison Ltd,6576
2021-09-03,Decision Campinas,Miller-Curry,6575
2021-09-03,Decision Campinas,Miller-Curry,6574
2021-09-03,Decision Campinas,Miller-Curry,6573
2021-09-03,Decision São Paulo,Barnes-Woods,6572
2021-09-03,Decision Campinas,Miller-Curry,6571
2021-09-03,Decision Campinas,Miller-Curry,6570
2021-09-03,Decision Campinas,Miller-Curry,6569
2021-09-03,Decision Campinas,Miller-Curry,6568
2021-09-03,Decision São Paulo,"Kaufman, Taylor and Jones",6567
2021-09-03,Decision São Paulo,"Kaufman, Taylor and Jones",6566
2021-09-03,Decision Campinas,Miller-Curry,6565
2021-09-02,Decision São Paulo,Nelson-Page,6564
2021-09-02,Decision São Paulo,Nelson-Page,6563
2021-09-02,Decision São Paulo,Nelson-Page,6562
2021-09-02,Decision São Paulo,Nelson-Page,6561
2021-09-02,Decision São Paulo,Nelson-Page,6560
2021-09-02,Decision São Paulo,Nelson-Page,6559
2021-09-02,Decision São Paulo,Nelson-Page,6558
2021-09-02,Decision São Paulo,Nelson-Page,6557
2021-09-02,Decision São Paulo,Nelson-Page,6556
2021-09-02,Decision São Paulo,"Morris, Moran and Dodson",6555
2021-09-02,Decision São Paulo,Nelson-Page,6554
2021-09-02,Decision São Paulo,Nelson-Page,6553
2021-09-02,Decision São Paulo,Callahan-Hall,6552
2021-09-02,Decision São Paulo,Barnes-Woods,6551
2021-09-01,Decision São Paulo,Nelson-Page,6549
2021-09-01,Decision São Paulo,Johnson-Pratt,6548
2021-09-01,Decision Campinas,Miller-Curry,6547
2021-09-01,Decision São Paulo,Nelson-Page,6546
2021-09-01,Decision São Paulo,Nelson-Page,6545
2021-09-01,Decision São Paulo,Barnes-Woods,6544
2021-09-01,Decision São Paulo,Nelson-Page,6543
2021-09-01,Decision São Paulo,Barnes-Woods,6542
2021-09-01,Decision São Paulo,"Wade, Bernard and Bailey",6541
2021-09-01,Decision São Paulo,Morrison Ltd,6540
2021-09-01,Decision São Paulo,Morrison Ltd,6539
2021-09-01,Decision São Paulo,Morrison Ltd,6538
2021-09-01,Decision São Paulo,Morrison Ltd,6537
2021-08-31,Decision São Paulo,Johnson-Aguirre,6536
2021-08-31,Decision São Paulo,Nelson-Page,6535
2021-08-31,Decision São Paulo,Johnson-Aguirre,6534
2021-08-31,Decision São Paulo,Johnson-Aguirre,6533
2021-08-31,Decision São Paulo,Johnson-Aguirre,6532
2021-08-31,Decision São Paulo,Johnson-Aguirre,6531
